Cement,Blast_Furnance_Slag,Fly_Ash,Water,Super_Plasticizer,Coarse_Aggregate,Fine_Aggregate,Age,Concrete_Strength
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,72.3
153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28,19.01
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90,26.94
250.0,0.0,95.7,191.8,5.3,948.9,857.2,3,8.49
200.0,133.0,0.0,192.0,0.0,965.4,806.2,28,30.44
183.9,122.6,0.0,203.5,0.0,959.2,800.0,7,10.79
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28,17.96
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,65.91
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28,40.93
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28,22.44
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3,23.52
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28,40.06
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28,25.73
480.0,0.0,0.0,192.0,0.0,936.2,712.2,3,24.4
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90,54.32
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.68
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,26.74
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,3,12.55
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28,26.86
203.5,305.3,0.0,203.5,0.0,963.4,630.0,7,19.54
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,26.06
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7,14.84
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,3,21.91
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,32.72
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92
528.0,0.0,0.0,185.0,6.9,920.0,720.0,28,56.83
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90,54.6
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89
140.0,133.0,103.0,200.0,7.0,916.0,753.0,28,36.44
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27
387.0,20.0,94.0,157.0,11.6,938.0,845.0,28,46.68
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.24
277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,48.28
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28,41.41
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4
238.1,0.0,94.1,186.7,7.0,949.9,847.0,56,39.59
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33
424.0,22.0,132.0,168.0,8.9,822.0,750.0,56,74.36
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,23.64
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56,45.08
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.42
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.4
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14,32.9
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3,9.31
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28,33.8
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28,13.29
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,31.72
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28,29.65
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.1
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14,20.73
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,56,43.5
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7,24.0
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7,15.58
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.8
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28,39.46
152.0,178.0,139.0,168.0,18.0,944.0,695.0,28,36.35
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14,48.4
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7,7.84
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3
424.0,22.0,132.0,168.0,8.9,822.0,750.0,3,32.11
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,39.49
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,14,24.43
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28,39.05
144.0,15.0,195.0,176.0,6.0,1021.0,709.0,28,15.34
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,57.03
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.7
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14,17.84
155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28,18.28
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100,40.86
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,4.78
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0
145.0,0.0,179.0,202.0,8.0,824.0,869.0,28,10.54
322.0,0.0,0.0,203.0,0.0,974.0,800.0,28,25.18
298.1,0.0,107.5,163.6,12.8,953.2,784.0,28,35.87
355.9,0.0,141.6,193.3,11.0,801.4,778.4,28,40.87
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1,6.27
277.1,0.0,97.4,160.6,11.8,973.9,875.6,14,41.89
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.72
296.0,0.0,107.0,221.0,11.0,819.0,778.0,28,31.42
321.3,164.2,0.0,190.5,4.6,870.0,774.0,28,57.22
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,31.84
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.4
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28,67.57
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,100,52.96
387.0,20.0,94.0,157.0,14.3,938.0,845.0,3,22.75
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65
321.0,0.0,128.0,182.0,11.0,870.0,780.0,28,37.26
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28,33.61
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56,38.56
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360,42.13
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.13
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7,10.39
276.4,116.0,90.3,179.6,8.9,870.1,768.3,28,44.28
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100,42.92
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.9
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14,20.08
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.48
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28,16.5
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14,21.6
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28,13.46
252.3,0.0,98.8,146.3,14.2,987.8,889.0,28,50.6
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56,42.55
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,58.8
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28,12.18
298.0,0.0,107.0,210.0,11.0,880.0,744.0,28,31.87
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90,21.95
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,35.17
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7,10.09
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365,38.89
424.0,22.0,132.0,178.0,8.5,822.0,750.0,28,62.05
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14,36.99
203.5,305.3,0.0,203.5,0.0,963.4,630.0,28,41.68
424.0,22.0,132.0,168.0,8.9,822.0,750.0,7,40.29
313.0,161.0,0.0,178.0,10.0,917.0,759.0,28,52.44
233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,34.56
255.0,0.0,0.0,192.0,0.0,889.8,945.0,3,8.2
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,51.02
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7,42.42
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,28,33.94
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0
387.0,20.0,94.0,157.0,11.6,938.0,845.0,7,41.67
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,25.45
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89
359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,66.78
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3,3.32
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,49.25
236.9,91.7,71.5,246.9,6.0,852.9,695.4,28,28.63
480.0,0.0,0.0,192.0,0.0,936.0,721.0,28,43.89
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28,30.22
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,52.04
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28,49.77
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7,8.0
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,18.75
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28,33.42
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,36.59
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28,34.29
272.8,105.1,81.8,209.7,9.0,904.0,679.7,28,37.17
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28,26.85
387.0,20.0,94.0,157.0,14.3,938.0,845.0,28,50.24
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28,15.42
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7,7.51
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.3
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,29.39
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7,18.91
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28,65.91
135.0,105.0,193.0,196.0,6.0,965.0,643.0,28,21.91
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56,42.7
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09
159.0,187.0,0.0,176.0,11.0,990.0,789.0,28,32.76
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3,17.37
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,42.29
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90,47.22
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,18.42
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42
491.0,26.0,123.0,210.0,3.9,882.0,699.0,56,59.59
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28,24.5
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28,36.44
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,56,51.43
310.0,142.8,0.0,167.9,10.0,914.3,804.0,28,45.3
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
285.0,190.0,0.0,163.0,7.6,1031.0,685.0,28,53.58
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28,57.21
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
387.0,20.0,94.0,157.0,13.9,938.0,845.0,28,46.68
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90,34.68
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90,48.79
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,69.84
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15
202.0,11.0,141.0,206.0,1.7,942.0,801.0,56,23.25
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,24.54
284.0,15.0,141.0,179.0,5.5,842.0,801.0,28,43.73
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28,47.4
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7,23.52
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,100,58.61
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,26.31
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28,39.6
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7
307.0,0.0,0.0,193.0,0.0,968.0,812.0,3,12.54
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28,39.09
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28,26.97
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28,26.92
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.23
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28,15.53
158.4,0.0,194.9,219.7,11.0,897.7,712.9,28,8.54
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7,17.24
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62
237.0,92.0,71.0,247.0,6.0,853.0,695.0,28,28.63
154.0,174.0,185.0,228.0,7.0,845.0,612.0,28,24.34
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3,15.44
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21
249.1,0.0,98.8,158.1,12.8,987.8,889.0,28,30.85
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
202.0,11.0,141.0,206.0,1.7,942.0,801.0,7,15.07
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,35.36
387.0,20.0,94.0,157.0,14.3,938.0,845.0,7,36.84
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180,39.0
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7,20.28
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,17.57
272.6,0.0,89.6,198.7,10.6,931.3,762.2,28,32.25
326.0,0.0,138.0,199.0,11.0,801.0,792.0,28,40.68
238.1,0.0,94.1,186.7,7.0,949.9,847.0,3,19.93
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,27.87
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
520.0,0.0,0.0,175.0,5.2,870.0,805.0,28,51.02
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28,26.92
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.28
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365,36.15
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28,31.9
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,67.31
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,34.49
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28,39.84
153.1,145.0,113.0,178.5,8.0,867.2,824.0,28,26.23
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
295.7,0.0,95.6,171.5,8.9,955.1,859.2,28,39.94
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,37.42
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.92
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.94
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90,50.73
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.72
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,28,43.7
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69
339.0,0.0,0.0,197.0,0.0,968.0,781.0,180,36.45
387.0,20.0,94.0,157.0,11.6,938.0,845.0,3,34.77
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7,14.8
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28,12.46
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7,38.61
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28,41.05
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,52.01
146.5,114.6,89.3,201.9,8.8,860.0,829.5,28,19.99
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7,45.9
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,9.45
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
